StaticBinocular
time	left_x	left_y	left_w	left_h	left_valid	right_x	right_y	right_w	right_h	right_valid
636606158	912.7	622.8	0	0	1	787.89	429.81	0	0	1
636614537	890.42	605.36	0	0	1	822.75	476.39	0	0	1
636622887	906.48	589.13	0	0	1	861.17	495.78	0	0	1
636631145	892.56	611.22	0	0	1	867.37	468.11	0	0	1
636639514	925.51	617.86	0	0	1	891.44	466.01	0	0	1
636647898	902.87	585.79	0	0	1	854.71	481.78	0	0	1
636656134	962.3	590.14	0	0	1	884.89	463.66	0	0	1
636664551	938.11	561.31	0	0	1	875.99	481.91	0	0	1
636672898	866.84	559.22	0	0	1	809.59	488.37	0	0	1
636681160	894.35	534.69	0	0	1	809.92	517.81	0	0	1
636689510	926.67	519.89	0	0	1	852.59	505.8	0	0	1
636697898	961.88	538.39	0	0	1	874.8	466.04	0	0	1
636706135	875	579.93	0	0	1	878.07	484.59	0	0	1
636714532	946.28	597.12	0	0	1	853.34	415.2	0	0	1
636722884	954.41	620.1	0	0	1	806.78	435.38	0	0	1
636731154	948.96	577.71	0	0	1	817.59	471.23	0	0	1
636739510	963.78	602.66	0	0	1	823.61	508.08	0	0	1
636747898	930.1	563.4	0	0	1	841.68	453.76	0	0	1
636756132	936.9	593.36	0	0	1	848.72	474.25	0	0	1
636764520	936.74	636.01	0	0	1	876.34	513.21	0	0	1
636772891	937.74	682.77	0	0	1	869.36	473.24	0	0	1
636781154	894.11	599.6	0	0	1	870.61	484.08	0	0	1
636789540	922.34	589.28	0	0	1	881.62	479.57	0	0	1
636797901	980.6	623.75	0	0	1	832.11	510.56	0	0	1
636806139	920.56	542.02	0	0	1	827.64	478.6	0	0	1
636814533	871.08	560.95	0	0	1	785.66	485.9	0	0	1
636822766	878.61	645.53	0	0	1	829.31	477.79	0	0	1
636831146	903.33	623.41	0	0	1	852.06	497.04	0	0	1
636839511	921.18	650.17	0	0	1	875.3	495.34	0	0	1
636847770	933.62	640.29	0	0	1	845.15	466.03	0	0	1
636856139	946.52	651.48	0	0	1	862.79	467.37	0	0	1
636864523	922.57	602.79	0	0	1	876.3	447.8	0	0	1
636872794	970.06	519.65	0	0	1	858.08	432.28	0	0	1
636881147	1087.42	635.62	0	0	1	998.3	469.46	0	0	1
636889509	1318.57	599.75	0	0	1	1229.46	465.67	0	0	1
636897768	1400.64	497.56	0	0	1	1284.44	371.62	0	0	1
636906134	1410.99	533.91	0	0	1	1270.22	489.3	0	0	1
636914555	1428.24	468.69	0	0	1	1248.77	455.98	0	0	1
636922767	1445.43	523.66	0	0	1	1284.6	447.41	0	0	1
636931247	1397.66	514.29	0	0	1	1308.82	413.19	0	0	1
636939530	1429.96	493.61	0	0	1	1317.49	413.36	0	0	1
636947790	1417.61	496.89	0	0	1	1321.12	406.03	0	0	1
636956141	1437.23	539.57	0	0	1	1298.45	450.56	0	0	1
636964526	1432.76	563.66	0	0	1	1274.85	432.75	0	0	1
636972761	1375.18	590.83	0	0	1	1298.77	471.8	0	0	1
636981160	1397.09	565.87	0	0	1	1272.69	421.01	0	0	1
636989519	1378	542.71	0	0	1	1279.39	427.87	0	0	1
636997774	1383.79	498.34	0	0	1	1269.32	472.95	0	0	1
637006135	1393.24	475.79	0	0	1	1262.51	412.48	0	0	1
637014535	1413.32	496.68	0	0	1	1273.97	404.69	0	0	1
637022760	1386.05	537.13	0	0	1	1276.55	345.57	0	0	1
637031181	1388.63	560.8	0	0	1	1306.94	414.93	0	0	1
637039562	1361.44	477.32	0	0	1	1318.22	498.24	0	0	1
