StaticBinocular
time	left_x	left_y	left_w	left_h	left_valid	right_x	right_y	right_w	right_h	right_valid
811273428	693.236	427.564	27.8885	27.8885	1	728.864	450.259	28.3189	28.3189	1
811273462	702.724	443.781	28.2259	28.2259	1	722.332	432.074	28.9065	28.9065	1
811273495	695.987	431.94	28.1777	28.1777	1	711.946	450.622	29.1546	29.1546	1
811273528	698.454	419.03	28.2002	28.2002	1	729.494	449.565	28.9218	28.9218	1
811273562	717.825	427.641	27.7931	27.7931	1	727.234	449.376	28.8946	28.8946	1
811273595	715.264	425.475	28.0295	28.0295	1	723.029	448.335	29.144	29.144	1
811273628	683.201	428.905	28.3833	28.3833	1	722.339	455.953	29.4673	29.4673	1
811273662	675.797	430.53	28.419	28.419	1	708.388	459.084	29.4242	29.4242	1
811273695	695.859	429.307	28.4998	28.4998	1	717.804	460.871	29.4878	29.4878	1
811273728	709.863	427.846	28.6549	28.6549	1	710.241	466.997	29.3818	29.3818	1
811273761	673.82	426.967	29.4309	29.4309	1	744.204	467.842	30.0893	30.0893	1
811273795	0	0	29.7247	29.7247	0	732.709	438.642	30.4307	30.4307	0
811273828	705.179	420.007	29.4415	29.4415	1	741.695	467.994	31.1447	31.1447	1
811273861	0	0	28.8927	28.8927	0	739.96	492.97	31.2463	31.2463	0
811273895	0	0	29.3743	29.3743	0	730.724	434.852	30.4144	30.4144	0
811273928	719.357	414.668	29.6671	29.6671	1	739.179	455.831	30.4607	30.4607	1
811273961	688.483	413.576	29.5638	29.5638	1	742.555	450.815	30.7195	30.7195	1
811273994	710.283	420.919	29.5823	29.5823	1	728.547	455.974	30.6023	30.6023	1
811274028	713.908	406.565	29.3662	29.3662	1	733.918	450.989	29.9755	29.9755	1
811274061	0	0	29.323	29.323	0	737.535	437.872	30.172	30.172	0
811274094	0	0	29.0329	29.0329	0	748.676	443.346	30.0071	30.0071	0
811274128	0	0	29.3549	29.3549	0	750.6	423.944	29.6173	29.6173	0
811274161	0	0	28.8752	28.8752	0	746.029	450.671	29.562	29.562	0
811274194	0	0	29.0887	29.0887	0	0	0	29.8539	29.8539	0
811274227	0	0	28.6745	28.6745	0	747.157	415.89	28.9664	28.9664	0
811274261	0	0	28.5383	28.5383	0	704.376	429.396	29.4416	29.4416	0
811274294	0	0	28.9306	28.9306	0	748.839	454.505	29.4712	29.4712	0
811274327	696.765	445.116	29.8015	29.8015	1	736.414	470.791	29.0251	29.0251	1
811274361	716.985	449.602	28.9347	28.9347	1	724.453	441.241	28.4109	28.4109	1
811274394	660.066	441.188	28.9145	28.9145	1	735.062	451.861	28.9589	28.9589	1
811274427	696.308	438.445	28.8056	28.8056	1	715.102	457.97	29.6345	29.6345	1
811274461	692.898	439.624	29.3201	29.3201	1	681.545	445.765	29.5409	29.5409	1
811274494	691.716	427.927	29.589	29.589	1	726.385	478.877	29.5323	29.5323	1
811274527	683.347	432.793	29.1593	29.1593	1	706.848	456.348	29.6216	29.6216	1
