X	Y	Duration
54	473	328
18	260	145
309	476	377
283	36	279
480	103	213
373	387	133
331	457	376
261	391	449
450	58	26
469	28	402
110	489	225
241	142	191
188	297	394
261	481	182
132	92	266
34	96	355
218	170	435
86	466	164
13	195	325
155	143	295
114	349	101
325	398	317
33	220	399
137	223	250
140	232	325
440	139	397
222	337	116
377	451	300
109	286	390
386	394	97
114	117	496
185	224	401
445	284	212
428	30	364
201	248	249
159	321	404
304	110	178
455	418	36
454	485	295
454	485	295
295	423	455
166	252	96
426	139	216
221	373	374
452	118	19
16	478	473
266	310	381
358	300	279
89	86	91
402	486	52
350	182	296
436	154	141
26	60	77
109	457	0
229	67	141
479	166	275
395	448	435
225	249	21
77	494	198
478	44	352
467	160	279
409	255	378
364	30	497
87	362	481
180	278	267
94	264	481
0	414	57
158	429	25
349	394	152
414	468	107
313	23	259
269	26	494
325	10	244
363	340	347
47	299	205
438	57	17
7	398	146
147	308	400
89	35	173
322	155	71
61	145	239
252	425	128
173	455	184
46	319	330
73	127	84
99	44	139
336	419	99
215	292	97
347	474	163
128	30	440
4	292	235
266	142	201
139	413	89
473	95	484
453	221	203
196	196	422
12	413	307
335	338	188
418	103	438
28	66	232
